timestamp,open,high,low,close,volume
2025-02-10 14:47:04.448,94615.62,97869.9,90800.0,93566.91,6.339285
2025-02-10 14:49:15.520,93566.91,97889.69,90960.07,95031.63,5.932838
2025-02-10 14:51:26.592,98156.24,99224.19,92875.0,95707.62,5.059982
2025-02-10 14:53:37.664,95385.82,99032.75,91298.92,95554.86,5.868224
2025-02-10 14:55:48.736,95554.86,97857.21,92627.7,96371.29,5.528938
2025-02-10 14:57:59.808,93046.85,99224.19,87652.9,95338.04,6.779488
2025-02-10 15:00:10.880,95003.87,97702.41,90839.07,95385.82,6.162915
2025-02-10 15:02:21.952,95543.74,97730.8,90839.07,94940.06,5.920461
2025-02-10 15:04:33.024,95071.45,97721.31,91776.42,94589.87,6.193932
2025-02-10 15:06:44.096,94589.87,97805.14,91721.76,94579.14,5.463392
2025-02-10 15:08:55.168,93778.14,97700.85,90839.07,93330.91,5.424818
2025-02-10 15:11:06.240,96046.96,97760.94,91110.15,95000.0,5.877015
2025-02-10 15:13:17.312,95399.96,97823.06,91000.09,95678.81,5.880426
2025-02-10 15:15:28.384,95543.74,97852.02,90188.4,93611.73,5.859825
2025-02-10 15:17:39.456,95338.04,97808.77,92311.44,94000.0,5.917903
2025-02-10 15:19:50.528,94211.67,97834.17,90839.07,95016.1,6.178332
2025-02-10 15:22:01.600,94286.57,98000.0,91776.21,94944.37,5.527471
2025-02-10 15:24:12.672,94944.37,98158.36,91532.92,96042.72,6.113381
2025-02-10 15:26:23.744,94211.67,96799.62,88309.2,89982.06,6.840114
2025-02-10 15:28:34.816,94940.06,99328.3,88309.2,93343.75,7.452537
2025-02-10 15:30:45.888,94773.99,99118.29,90839.07,95031.63,5.628282
2025-02-10 15:32:56.960,94773.99,99224.19,91771.02,95338.04,5.602576
2025-02-10 15:35:08.032,95338.04,104908.01,87470.95,99224.19,123.22407
2025-02-10 15:37:19.104,98963.12,99224.19,98823.07,98823.07,1022.587894
2025-02-10 15:39:30.176,106032.89,106568.21,104866.24,104866.24,484.98423
